UBL_REFERENCENO,POLICY_STATUS,POLICY_STATUS_DATE
S783790,A,01/26/2024
S783014,A,01/26/2024
S784404,A,01/26/2024
S784069,A,01/26/2024
S783012,A,01/26/2024
S783813,A,01/26/2024
S783919,A,01/26/2024
S784175,A,01/26/2024
S784019,A,01/26/2024
S784100,A,01/26/2024
S783924,A,01/26/2024
S783140,A,01/26/2024
S784230,A,01/26/2024
S784128,A,01/26/2024
S784016,A,01/26/2024
S782789,A,01/26/2024
S784204,A,01/26/2024
S784061,A,01/26/2024
S782078,A,01/26/2024
S782839,A,01/26/2024
S784055,A,01/26/2024
S783988,A,01/26/2024
S783861,A,01/26/2024
S783532,A,01/29/2024
S784311,A,01/29/2024
S783848,A,01/29/2024
S783894,A,01/29/2024
S784627,A,01/29/2024
S784198,A,01/29/2024
S783796,A,01/29/2024
S783633,A,01/29/2024
S783612,A,01/29/2024
S782908,A,01/29/2024
S783876,A,01/29/2024
S783268,A,01/29/2024
S782643,A,01/29/2024
S784508,A,01/29/2024
S783644,A,01/29/2024
S783822,A,01/29/2024
S783001,A,01/29/2024
S783553,A,01/29/2024
S782102,A,01/29/2024
S783144,A,01/29/2024
S784181,A,01/29/2024
S784585,A,01/29/2024
S784234,A,01/29/2024
S783810,A,01/29/2024
S783534,A,01/29/2024
S784267,A,01/29/2024
S783798,A,01/29/2024
S783915,A,01/29/2024
S783399,A,01/29/2024
S784086,A,01/29/2024
S782757,A,01/29/2024
S782591,A,01/29/2024
S784495,A,01/30/2024
S783074,A,01/30/2024
S784017,A,01/30/2024
S784567,A,01/30/2024
S782744,A,01/30/2024
S781750,A,01/30/2024
S783420,A,01/30/2024
S782947,A,01/30/2024
S782049,A,01/30/2024
S783819,A,01/30/2024
S784743,A,01/30/2024
S784233,A,01/30/2024
S784214,A,01/30/2024
S784600,A,01/30/2024
S784026,A,01/30/2024
S783769,A,01/30/2024
S782846,A,01/30/2024
S783188,A,01/30/2024
S784324,A,01/30/2024
S782874,A,01/30/2024
S782563,A,01/30/2024
S784670,A,01/30/2024
S784393,A,01/30/2024
S782825,A,01/30/2024
S784040,A,01/30/2024
S783220,A,01/30/2024
S783802,A,01/30/2024
S783224,A,01/30/2024
S783190,A,01/30/2024
S784259,A,01/30/2024
S783794,A,01/30/2024
S782878,A,01/30/2024
S782929,A,01/30/2024
S784663,A,01/30/2024
S782507,A,01/31/2024
S784729,A,01/31/2024
S783963,A,01/31/2024
S784284,A,01/31/2024
S783737,A,01/31/2024
S783050,A,01/31/2024
S782937,A,01/31/2024
S784821,A,01/31/2024
S782567,A,01/31/2024
S782186,A,01/31/2024
S783365,A,01/31/2024
S784519,A,01/31/2024
S783982,A,01/31/2024
S784732,A,01/31/2024
S784244,A,01/31/2024
S782202,A,01/31/2024
S783993,A,01/31/2024
S782253,A,01/31/2024
S782938,A,01/31/2024
S784603,A,01/31/2024
S784566,A,01/31/2024
S785070,A,01/31/2024
S782859,A,01/31/2024
S784652,A,01/31/2024
S784905,A,01/31/2024
S784485,A,01/31/2024
S781823,A,01/31/2024
S784339,A,01/31/2024
S784530,A,01/31/2024
S784237,A,01/31/2024
S783435,A,01/31/2024
S784746,A,01/31/2024
S782818,A,01/31/2024
S784379,A,01/31/2024
S784702,A,01/31/2024
S784959,A,01/31/2024
S783651,A,01/31/2024
S785022,A,01/31/2024
S782948,A,01/31/2024
S784574,A,01/31/2024
S783262,A,01/31/2024
S784994,A,01/31/2024
S784769,A,01/31/2024
S785067,A,01/31/2024
S783865,A,01/31/2024
S784513,A,01/31/2024
S784481,A,01/31/2024
S785134,A,01/31/2024
S785246,A,01/31/2024
S785144,A,01/31/2024
S783995,A,01/31/2024
S785251,A,01/31/2024
S784564,A,01/31/2024
S784557,A,01/31/2024
S784215,A,01/31/2024
S783031,A,01/31/2024
S783325,A,01/31/2024
S784394,A,01/31/2024
S785119,A,01/31/2024
S782311,A,01/31/2024
S784159,A,01/31/2024
S785284,A,01/31/2024
S783940,A,01/31/2024
S782978,A,01/31/2024
S784282,A,01/31/2024
S782883,A,01/31/2024
S784561,A,01/31/2024
S784054,A,01/31/2024
S784390,A,01/31/2024
S785230,A,01/31/2024
S784971,A,01/31/2024
S784465,A,01/31/2024
S785011,A,01/31/2024
S785137,A,01/31/2024
S785009,A,01/31/2024
S782126,A,01/31/2024
S784697,A,01/31/2024
S784570,A,01/31/2024
S784413,A,01/31/2024
S784433,A,01/31/2024
S783987,A,01/31/2024
S784232,A,01/31/2024
S784334,A,01/31/2024
S784103,A,01/31/2024
S784712,A,01/31/2024
S784435,A,01/31/2024
S784499,A,01/31/2024
S783926,A,01/31/2024
S784836,A,01/31/2024
S784174,A,01/31/2024
S783760,A,01/31/2024
S784684,A,01/31/2024
S784758,A,01/31/2024
S784700,A,01/31/2024
S784395,A,01/31/2024
S784046,A,01/31/2024
S784893,A,01/31/2024
S784365,A,01/31/2024
S785023,A,01/31/2024
S783885,A,01/31/2024
S782596,A,01/31/2024
S784316,A,01/31/2024
S785108,A,01/31/2024
S784886,A,01/31/2024
S783777,A,01/31/2024
S782857,A,01/31/2024
S784077,A,01/31/2024
S784889,A,01/31/2024
S784761,A,01/31/2024
S784305,A,01/31/2024
S784957,A,01/31/2024
S784106,A,01/31/2024
S785130,A,01/31/2024
S784822,A,01/31/2024
S784281,A,01/31/2024
S784952,A,01/31/2024
S785051,A,01/31/2024
S783717,A,01/31/2024
S784881,A,01/31/2024
S784645,A,01/31/2024
S784967,A,01/31/2024
S785032,A,01/31/2024
S783761,A,01/31/2024
S782035,A,01/31/2024
S782418,A,01/31/2024
S782856,A,01/31/2024
S782697,A,01/31/2024
S784966,A,01/31/2024
S784637,A,01/31/2024
S784853,A,01/31/2024
